s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt
2017-11-28-3783	pfama1.04	80	0.091638	30566	1	0	1	30566	1
2017-11-28-3785	pfama1.26	15	0.0171821	46400	1	0	1	46400	2
2017-11-28-3786	pfama1.03	82	0.093929	18747	2	0	0.555114	10562	2
2017-11-28-3786	pfama1.06	66	0.0756014	18747	2	1	0.444886	8185	2
2017-11-28-3787	pfama1.04	80	0.091638	75936	1	0	1	75936	2
2017-11-28-3805	pfama1.01	133	0.152348	48913	1	0	1	48913	5
2017-11-28-3816	pfama1.00	145	0.166094	13747	1	0	1	13747	3
2017-11-28-3818	pfama1.09	61	0.069874	47093	1	0	1	47093	2
2017-11-29-3079	pfama1.11	56	0.0641466	43333	1	0	1	43333	2
2017-11-29-3093	pfama1.35	8	0.0091638	40737	1	0	1	40737	2
2017-11-29-3096	pfama1.08	62	0.0710195	48245	5	0	0.448802	21556	2
2017-11-29-3096	pfama1.27	15	0.0171821	48245	5	1	0.421449	20427	2
2017-11-29-3096	pfama1.17	30	0.0343643	48245	5	2	0.0902057	4311	2
2017-11-29-3096	pfama1.13	47	0.0538373	48245	5	3	0.023318	1156	2
2017-11-29-3096	pfama1.06	66	0.0756014	48245	5	4	0.0162247	795	2
2017-11-29-3315	pfama1.24	19	0.021764	2237	2	0	0.763154	1717	2
2017-11-29-3315	pfama1.13	47	0.0538373	2237	2	1	0.236846	520	2
2017-11-29-3364	pfama1.21	26	0.0297824	47591	1	0	1	47591	2
2017-11-29-3505	pfama1.36	8	0.0091638	69860	1	0	1	69860	2
2017-11-29-3510	pfama1.27	15	0.0171821	47382	1	0	1	47382	2
2017-12-04-3001	pfama1.04	80	0.091638	32266	1	0	1	32266	2
2017-12-04-3055	pfama1.04	80	0.091638	62138	1	0	1	62138	2
2017-12-04-3164	pfama1.00	145	0.166094	49301	2	0	0.501289	24864	2
2017-12-04-3164	pfama1.12	52	0.0595647	49301	2	1	0.498711	24437	2
2017-12-05-3284	pfama1.15	31	0.0355097	45936	1	0	1	45936	2
2017-12-05-3285	pfama1.02	120	0.137457	20716	3	0	0.788306	17131	3
2017-12-05-3285	pfama1.10	60	0.0687285	20716	3	1	0.138113	2484	3
2017-12-05-3285	pfama1.08	62	0.0710195	20716	3	2	0.0735812	1101	3
2017-12-05-3527	pfama1.02	120	0.137457	45532	1	0	1	45532	2
2017-12-06-3336	pfama1.03	82	0.093929	7234	1	0	1	7234	1
2017-12-11-3540	pfama1.09	61	0.069874	44973	1	0	1	44973	2
2017-12-11-3542	pfama1.08	62	0.0710195	24261	4	0	0.873454	21000	2
2017-12-11-3542	pfama1.32	11	0.0126002	24261	4	1	0.0979271	2494	2
2017-12-11-3542	pfama1.01	133	0.152348	24261	4	2	0.0156953	424	2
2017-12-11-3542	pfama1.00	145	0.166094	24261	4	3	0.012924	343	2
2017-12-11-3546	pfama1.09	61	0.069874	35130	2	0	0.835501	30554	2
2017-12-11-3546	pfama1.06	66	0.0756014	35130	2	1	0.164499	4576	2
2017-12-11-3547	pfama1.07	64	0.0733104	16737	1	0	1	16737	1
2017-12-11-3557	pfama1.22	24	0.0274914	31105	1	0	1	31105	2
2017-12-12-3577	pfama1.00	145	0.166094	6774	1	0	1	6774	2
2017-12-12-3578	pfama1.19	28	0.0320733	7914	9	0	0.473732	3750	2
2017-12-12-3578	pfama1.06	66	0.0756014	7914	9	1	0.135924	1051	2
2017-12-12-3578	pfama1.22	24	0.0274914	7914	9	2	0.109182	871	2
2017-12-12-3578	pfama1.00	145	0.166094	7914	9	3	0.0941061	749	2
2017-12-12-3578	pfama1.11	56	0.0641466	7914	9	4	0.0689825	535	2
2017-12-12-3578	pfama1.31	13	0.0148912	7914	9	5	0.0434504	377	2
2017-12-12-3578	pfama1.04	80	0.091638	7914	9	6	0.0379761	296	2
2017-12-12-3578	pfama1.10	60	0.0687285	7914	9	7	0.03077	241	2
2017-12-12-3578	pfama1.09	61	0.069874	7914	9	8	0.00587773	44	2
2017-12-12-3579	pfama1.34	9	0.0103093	6758	1	0	1	6758	4
2017-12-12-3580	pfama1.07	64	0.0733104	22829	1	0	1	22829	2
2017-12-12-3602	pfama1.15	31	0.0355097	45485	6	0	0.389976	16040	4
2017-12-12-3602	pfama1.00	145	0.166094	45485	6	1	0.337186	16168	4
2017-12-12-3602	pfama1.06	66	0.0756014	45485	6	2	0.215588	10648	4
2017-12-12-3602	pfama1.03	82	0.093929	45485	6	3	0.0287842	1527	4
2017-12-12-3602	pfama1.22	24	0.0274914	45485	6	4	0.0152966	487	4
2017-12-12-3602	pfama1.02	120	0.137457	45485	6	5	0.0131688	615	4
2017-12-12-3604	pfama1.33	11	0.0126002	75882	15	0	0.155534	12283	4
2017-12-12-3604	pfama1.20	28	0.0320733	75882	15	1	0.124788	8790	4
2017-12-12-3604	pfama1.08	62	0.0710195	75882	15	2	0.122627	8426	4
2017-12-12-3604	pfama1.00	145	0.166094	75882	15	3	0.119848	9542	4
2017-12-12-3604	pfama1.05	66	0.0756014	75882	15	4	0.0974573	6935	4
2017-12-12-3604	pfama1.12	52	0.0595647	75882	15	5	0.0888417	6490	4
2017-12-12-3604	pfama1.06	66	0.0756014	75882	15	6	0.0758021	6055	4
2017-12-12-3604	pfama1.04	80	0.091638	75882	15	7	0.0546016	4286	4
2017-12-12-3604	pfama1.01	133	0.152348	75882	15	8	0.0491918	3831	4
2017-12-12-3604	pfama1.02	120	0.137457	75882	15	9	0.0322575	2618	4
2017-12-12-3604	pfama1.13	47	0.0538373	75882	15	10	0.0297238	2494	4
2017-12-12-3604	pfama1.41	4	0.0045819	75882	15	11	0.0146509	1211	4
2017-12-12-3604	pfama1.37	7	0.00801833	75882	15	12	0.0129536	1114	4
2017-12-12-3604	pfama1.14	39	0.0446735	75882	15	13	0.0124176	1055	4
2017-12-12-3604	pfama1.09	61	0.069874	75882	15	14	0.00930444	752	4
2017-12-12-3614	pfama1.02	120	0.137457	82839	1	0	1	82839	4
2017-12-12-3616	pfama1.02	120	0.137457	10954	1	0	1	10954	1
2017-12-12-3617	pfama1.07	64	0.0733104	17542	1	0	1	17542	1
2017-12-13-3630	pfama1.14	39	0.0446735	9152	1	0	1	9152	2
2017-12-13-3637	pfama1.05	66	0.0756014	15847	1	0	1	15847	1
2017-12-13-3642	pfama1.02	120	0.137457	26557	1	0	1	26557	3
2017-12-18-3122	pfama1.01	133	0.152348	7633	1	0	1	7633	4
2017-12-18-3148	pfama1.01	133	0.152348	19379	1	0	1	19379	2
2017-12-18-3154	pfama1.00	145	0.166094	76150	1	0	1	76150	2
2017-12-18-3190	pfama1.01	133	0.152348	62410	1	0	1	62410	4
2017-12-18-3202	pfama1.17	30	0.0343643	176222	2	0	0.907565	157903	7
2017-12-18-3202	pfama1.23	22	0.0252005	176222	2	1	0.0924351	18319	7
2017-12-18-3205	pfama1.28	15	0.0171821	12375	3	0	0.74832	9297	2
2017-12-18-3205	pfama1.23	22	0.0252005	12375	3	1	0.240804	2946	2
2017-12-18-3205	pfama1.00	145	0.166094	12375	3	2	0.0108764	132	2
2017-12-18-3649	pfama1.02	120	0.137457	16501	1	0	1	16501	1
2017-12-18-3659	pfama1.32	11	0.0126002	18256	2	0	0.539113	9783	3
2017-12-18-3659	pfama1.11	56	0.0641466	18256	2	1	0.460887	8473	3
2017-12-18-3665	pfama1.02	120	0.137457	86500	1	0	1	86500	4
2017-12-18-3824	pfama1.00	145	0.166094	24432	1	0	1	24432	2
2017-12-19-3672	pfama1.11	56	0.0641466	12510	2	0	0.956674	11959	2
2017-12-19-3672	pfama1.25	18	0.0206186	12510	2	1	0.0433257	551	2
2017-12-19-3673	pfama1.09	61	0.069874	3997	2	0	0.676264	2656	2
2017-12-19-3673	pfama1.03	82	0.093929	3997	2	1	0.323736	1341	2
2017-12-19-3677	pfama1.24	19	0.021764	21681	4	0	0.630136	14039	4
2017-12-19-3677	pfama1.02	120	0.137457	21681	4	1	0.256465	5378	4
2017-12-19-3677	pfama1.09	61	0.069874	21681	4	2	0.0892814	1790	4
2017-12-19-3677	pfama1.16	30	0.0343643	21681	4	3	0.0241182	474	4
2017-12-19-3681	pfama1.03	82	0.093929	16643	1	0	1	16643	1
2017-12-19-3685	pfama1.29	15	0.0171821	62094	2	0	0.758089	46028	5
2017-12-19-3685	pfama1.18	30	0.0343643	62094	2	1	0.241911	16066	5
2017-12-20-3708	pfama1.03	82	0.093929	98720	1	0	1	98720	2
2017-12-20-3709	pfama1.13	47	0.0538373	23925	1	0	1	23925	2
2017-12-20-3713	pfama1.19	28	0.0320733	31890	1	0	1	31890	2
